condition,comparison,method,baseline,delta_definition,point_delta,bootstrap_mean_delta,ci_95_percentile,conclusion,ci_lower,ci_upper,confidence_better_supported,alternative_better_supported
clean,L+U_vs_confidence,L+U,confidence,method_aurc_minus_confidence_aurc,0.0052023691655513488,0.0052558651350206199,"[0.0018545168295758402, 0.008579834667853265]",method_higher_aurc,0.0018545168295758402,0.0085798346678532655,True,False
clean,U_vs_confidence,U,confidence,method_aurc_minus_confidence_aurc,0.0095769735644353413,0.0095992684104895878,"[0.007315077630829028, 0.011948963276134475]",method_higher_aurc,0.0073150776308290276,0.011948963276134475,True,False
clean,L+Q_signal+U_vs_confidence,L+Q_signal+U,confidence,method_aurc_minus_confidence_aurc,0.023986437690607133,0.024081157370815079,"[0.01897283392148288, 0.02934182751000925]",method_higher_aurc,0.018972833921482881,0.029341827510009251,True,False
baseline_wander_mild,L+U_vs_confidence,L+U,confidence,method_aurc_minus_confidence_aurc,0.0053325166857750642,0.0053851796810759252,"[0.0019200048345121663, 0.008777797581460498]",method_higher_aurc,0.0019200048345121663,0.0087777975814604982,True,False
baseline_wander_mild,U_vs_confidence,U,confidence,method_aurc_minus_confidence_aurc,0.0095325820203403452,0.0095525782818695667,"[0.007208389857966982, 0.01190657314655288]",method_higher_aurc,0.0072083898579669821,0.011906573146552879,True,False
baseline_wander_mild,L+Q_signal+U_vs_confidence,L+Q_signal+U,confidence,method_aurc_minus_confidence_aurc,0.019038636289125076,0.019123539838018941,"[0.01436082874372949, 0.02398545728867365]",method_higher_aurc,0.01436082874372949,0.023985457288673649,True,False
baseline_wander_moderate,L+U_vs_confidence,L+U,confidence,method_aurc_minus_confidence_aurc,0.0047178561794729429,0.0047687887347546681,"[0.0011553695098292622, 0.00825807178003412]",method_higher_aurc,0.0011553695098292622,0.0082580717800341194,True,False
baseline_wander_moderate,U_vs_confidence,U,confidence,method_aurc_minus_confidence_aurc,0.0099479158453078947,0.0099665844756396133,"[0.007475332511394702, 0.012394667769751351]",method_higher_aurc,0.0074753325113947021,0.012394667769751351,True,False
baseline_wander_moderate,L+Q_signal+U_vs_confidence,L+Q_signal+U,confidence,method_aurc_minus_confidence_aurc,0.017559591576916694,0.017654405764316261,"[0.012939635996979561, 0.02254350200918938]",method_higher_aurc,0.012939635996979561,0.022543502009189378,True,False
baseline_wander_severe,L+U_vs_confidence,L+U,confidence,method_aurc_minus_confidence_aurc,0.0045316471690567475,0.0045606156317473537,"[0.0007837006190230656, 0.008422134302208024]",method_higher_aurc,0.00078370061902306558,0.0084221343022080238,True,False
baseline_wander_severe,U_vs_confidence,U,confidence,method_aurc_minus_confidence_aurc,0.010575409380614832,0.01057066491669577,"[0.007933634736104265, 0.013387394751131132]",method_higher_aurc,0.0079336347361042645,0.013387394751131132,True,False
baseline_wander_severe,L+Q_signal+U_vs_confidence,L+Q_signal+U,confidence,method_aurc_minus_confidence_aurc,0.019731672607027857,0.019812825425138993,"[0.014806180615033486, 0.025049413455588438]",method_higher_aurc,0.014806180615033486,0.025049413455588438,True,False
additive_white_noise_mild,L+U_vs_confidence,L+U,confidence,method_aurc_minus_confidence_aurc,0.006345174350877919,0.006392063186020998,"[0.0029125763937180873, 0.009829213112885139]",method_higher_aurc,0.0029125763937180873,0.0098292131128851386,True,False
additive_white_noise_mild,U_vs_confidence,U,confidence,method_aurc_minus_confidence_aurc,0.010951445140233829,0.01096773110796056,"[0.00843290574120878, 0.013604786233543033]",method_higher_aurc,0.0084329057412087793,0.013604786233543033,True,False
additive_white_noise_mild,L+Q_signal+U_vs_confidence,L+Q_signal+U,confidence,method_aurc_minus_confidence_aurc,0.022387654534639451,0.022455926415689071,"[0.01745205519510772, 0.027560490705782516]",method_higher_aurc,0.017452055195107719,0.027560490705782516,True,False
additive_white_noise_moderate,L+U_vs_confidence,L+U,confidence,method_aurc_minus_confidence_aurc,0.012920947921360594,0.012965001094416255,"[0.00878324352356106, 0.017263840214477]",method_higher_aurc,0.0087832435235610604,0.017263840214477001,True,False
