condition,corruption_type,severity,method,aurc
clean,clean,clean,confidence,0.055157156439683004
clean,clean,clean,U,0.064734130004118345
clean,clean,clean,L,0.10133941769224883
clean,clean,clean,Q_signal,0.13205388960361603
clean,clean,clean,L+U,0.060359525605234353
clean,clean,clean,L+Q_signal,0.11780173910503804
clean,clean,clean,Q_signal+U,0.090889650420841517
clean,clean,clean,L+Q_signal+U,0.079143594130290137
baseline_wander_mild,baseline_wander,mild,confidence,0.054883810003530188
baseline_wander_mild,baseline_wander,mild,U,0.064416392023870533
baseline_wander_mild,baseline_wander,mild,L,0.10117060541346749
baseline_wander_mild,baseline_wander,mild,Q_signal,0.13055669334727429
baseline_wander_mild,baseline_wander,mild,L+U,0.060216326689305252
baseline_wander_mild,baseline_wander,mild,L+Q_signal,0.1143022932672937
baseline_wander_mild,baseline_wander,mild,Q_signal+U,0.085251169607192062
baseline_wander_mild,baseline_wander,mild,L+Q_signal+U,0.073922446292655264
baseline_wander_moderate,baseline_wander,moderate,confidence,0.055939504842431917
baseline_wander_moderate,baseline_wander,moderate,U,0.065887420687739812
baseline_wander_moderate,baseline_wander,moderate,L,0.099414552590499125
baseline_wander_moderate,baseline_wander,moderate,Q_signal,0.13025435939956664
baseline_wander_moderate,baseline_wander,moderate,L+U,0.06065736102190486
baseline_wander_moderate,baseline_wander,moderate,L+Q_signal,0.11253836126054212
baseline_wander_moderate,baseline_wander,moderate,Q_signal+U,0.085934042073305072
baseline_wander_moderate,baseline_wander,moderate,L+Q_signal+U,0.073499096419348611
baseline_wander_severe,baseline_wander,severe,confidence,0.059175715830067123
baseline_wander_severe,baseline_wander,severe,U,0.069751125210681955
baseline_wander_severe,baseline_wander,severe,L,0.10456477555819324
baseline_wander_severe,baseline_wander,severe,Q_signal,0.13542461117308641
baseline_wander_severe,baseline_wander,severe,L+U,0.06370736299912387
baseline_wander_severe,baseline_wander,severe,L+Q_signal,0.11694683118706076
baseline_wander_severe,baseline_wander,severe,Q_signal+U,0.091241546887821573
baseline_wander_severe,baseline_wander,severe,L+Q_signal+U,0.07890738843709498
additive_white_noise_mild,additive_white_noise,mild,confidence,0.055714639989216663
additive_white_noise_mild,additive_white_noise,mild,U,0.066666085129450492
additive_white_noise_mild,additive_white_noise,mild,L,0.10377401020872148
additive_white_noise_mild,additive_white_noise,mild,Q_signal,0.13237978467731978
additive_white_noise_mild,additive_white_noise,mild,L+U,0.062059814340094582
additive_white_noise_mild,additive_white_noise,mild,L+Q_signal,0.11720818397595568
additive_white_noise_mild,additive_white_noise,mild,Q_signal+U,0.090010507241954224
additive_white_noise_mild,additive_white_noise,mild,L+Q_signal+U,0.078102294523856114
additive_white_noise_moderate,additive_white_noise,moderate,confidence,0.062477218327092722
additive_white_noise_moderate,additive_white_noise,moderate,U,0.079924594498190352
additive_white_noise_moderate,additive_white_noise,moderate,L,0.11549852047464444
additive_white_noise_moderate,additive_white_noise,moderate,Q_signal,0.14220937423750296
additive_white_noise_moderate,additive_white_noise,moderate,L+U,0.075398166248453316
additive_white_noise_moderate,additive_white_noise,moderate,L+Q_signal,0.12645960830178091
additive_white_noise_moderate,additive_white_noise,moderate,Q_signal+U,0.10340411942390396
additive_white_noise_moderate,additive_white_noise,moderate,L+Q_signal+U,0.091706979634719341
additive_white_noise_severe,additive_white_noise,severe,confidence,0.11190300869930198
additive_white_noise_severe,additive_white_noise,severe,U,0.14908039577156718
additive_white_noise_severe,additive_white_noise,severe,L,0.1812802877950018
additive_white_noise_severe,additive_white_noise,severe,Q_signal,0.19251591784888999
additive_white_noise_severe,additive_white_noise,severe,L+U,0.14756073295119149
additive_white_noise_severe,additive_white_noise,severe,L+Q_signal,0.18191044507308499
additive_white_noise_severe,additive_white_noise,severe,Q_signal+U,0.17010362379302216
additive_white_noise_severe,additive_white_noise,severe,L+Q_signal+U,0.16240457250566612
amplitude_clipping_mild,amplitude_clipping,mild,confidence,0.054891671252329528
amplitude_clipping_mild,amplitude_clipping,mild,U,0.064633390630678383
amplitude_clipping_mild,amplitude_clipping,mild,L,0.10042945638256218
amplitude_clipping_mild,amplitude_clipping,mild,Q_signal,0.13129360347913577
amplitude_clipping_mild,amplitude_clipping,mild,L+U,0.059918565538818892
amplitude_clipping_mild,amplitude_clipping,mild,L+Q_signal,0.1143861202102142
amplitude_clipping_mild,amplitude_clipping,mild,Q_signal+U,0.086929462919186157
amplitude_clipping_mild,amplitude_clipping,mild,L+Q_signal+U,0.074644721665490424
amplitude_clipping_moderate,amplitude_clipping,moderate,confidence,0.064465377564008344
amplitude_clipping_moderate,amplitude_clipping,moderate,U,0.073866831162633262
amplitude_clipping_moderate,amplitude_clipping,moderate,L,0.10800124619183987
amplitude_clipping_moderate,amplitude_clipping,moderate,Q_signal,0.13911406957062558
amplitude_clipping_moderate,amplitude_clipping,moderate,L+U,0.066616414091031154
amplitude_clipping_moderate,amplitude_clipping,moderate,L+Q_signal,0.11950516151387966
amplitude_clipping_moderate,amplitude_clipping,moderate,Q_signal+U,0.083324692654384622
amplitude_clipping_moderate,amplitude_clipping,moderate,L+Q_signal+U,0.073907499799890239
amplitude_clipping_severe,amplitude_clipping,severe,confidence,0.095388849115605856
amplitude_clipping_severe,amplitude_clipping,severe,U,0.10755340071144473
amplitude_clipping_severe,amplitude_clipping,severe,L,0.16830058377495224
amplitude_clipping_severe,amplitude_clipping,severe,Q_signal,0.19425487450462461
amplitude_clipping_severe,amplitude_clipping,severe,L+U,0.10558449074311335
amplitude_clipping_severe,amplitude_clipping,severe,L+Q_signal,0.17796300298680454
amplitude_clipping_severe,amplitude_clipping,severe,Q_signal+U,0.11853721356199566
amplitude_clipping_severe,amplitude_clipping,severe,L+Q_signal+U,0.11384578086868688
lead_masking_mild,lead_masking,mild,confidence,0.064849409776810737
lead_masking_mild,lead_masking,mild,U,0.075071750110054819
lead_masking_mild,lead_masking,mild,L,0.11470508801640994
lead_masking_mild,lead_masking,mild,Q_signal,0.14108333388000169
lead_masking_mild,lead_masking,mild,L+U,0.070360789853320144
lead_masking_mild,lead_masking,mild,L+Q_signal,0.12335672519076987
lead_masking_mild,lead_masking,mild,Q_signal+U,0.079949738220469316
lead_masking_mild,lead_masking,mild,L+Q_signal+U,0.073839648982180969
lead_masking_moderate,lead_masking,moderate,confidence,0.08897935080674553
lead_masking_moderate,lead_masking,moderate,U,0.10551906162487461
lead_masking_moderate,lead_masking,moderate,L,0.15611488495924697
lead_masking_moderate,lead_masking,moderate,Q_signal,0.18079579841643051
lead_masking_moderate,lead_masking,moderate,L+U,0.1039815636562182
lead_masking_moderate,lead_masking,moderate,L+Q_signal,0.165796158406008
lead_masking_moderate,lead_masking,moderate,Q_signal+U,0.11265828721906056
lead_masking_moderate,lead_masking,moderate,L+Q_signal+U,0.10926887492630927
lead_masking_severe,lead_masking,severe,confidence,0.2023414335913383
lead_masking_severe,lead_masking,severe,U,0.22978501816096528
lead_masking_severe,lead_masking,severe,L,0.28187995954381029
lead_masking_severe,lead_masking,severe,Q_signal,0.27468147994900799
lead_masking_severe,lead_masking,severe,L+U,0.2349583502379031
lead_masking_severe,lead_masking,severe,L+Q_signal,0.27399170761748559
lead_masking_severe,lead_masking,severe,Q_signal+U,0.23433015251873243
lead_masking_severe,lead_masking,severe,L+Q_signal+U,0.23764949885625292
